dist_metro,num_residential,avg_income,traffic,rent_per_sqm,has_parking,competition_count,score,suitable
14,4,10.5,medium,107,no,3,49,bad
21.6,0,16.7,medium,125,yes,1,63,good
22.7,2,13.9,medium,125,yes,3,49,bad
10,4,9.2,medium,138,no,6,45,bad
50.3,2,17.6,low,77,yes,2,24,bad
33.7,4,7.4,medium,109,yes,1,57,good
46.4,3,10.5,low,51,no,3,10,bad
42,2,11.2,low,83,yes,0,21,bad
24.9,3,14.4,medium,97,yes,1,61,good
44.5,7,16.5,medium,87,no,6,49,bad
7,3,16.2,medium,137,yes,5,69,good
10.3,5,12.9,medium,135,yes,3,73,good
5.3,8,10.9,high,133,no,3,96,good
14.5,1,4.7,medium,99,no,4,26,bad
16.7,2,6.7,medium,101,no,1,39,bad
12.7,2,19.1,medium,158,no,3,53,good
37.1,1,4.7,low,78,yes,1,18,bad
15.6,3,8.9,medium,97,yes,0,73,good
13,4,16.6,medium,139,no,2,73,good
22.5,1,12.8,medium,110,yes,2,51,good
8.7,7,15.7,high,138,yes,3,83,good
35.4,6,14.2,medium,103,yes,7,74,good
6.5,2,17.9,medium,158,no,0,63,good
53.7,2,13.2,low,57,yes,2,37,bad
33.6,1,14.7,low,99,yes,1,20,bad
10.4,0,9.1,medium,117,no,2,40,bad
2.5,4,14.3,medium,151,yes,4,100,good
36.2,3,10.4,medium,84,yes,3,45,bad
30,4,10.2,medium,96,yes,3,56,good
31.2,5,15.6,medium,102,yes,3,71,good
33.5,1,15.6,low,100,yes,2,33,bad
6.5,1,18.8,medium,165,no,0,57,good
15.6,2,18.5,medium,158,yes,5,64,good
7.9,6,15.7,high,143,no,4,66,good
39.5,3,5.1,medium,70,yes,1,50,good
26,3,19.3,medium,104,no,1,59,good
14.7,2,15.7,medium,122,no,2,56,good
6.1,6,8.9,high,127,no,5,70,good
14,1,14.9,medium,122,yes,2,62,good
14.5,3,7.9,medium,108,yes,2,58,good
31.2,1,14.5,low,118,yes,2,32,bad
26.7,2,6.7,medium,94,no,0,33,bad
41.4,4,8.8,medium,77,yes,0,41,bad
19.8,5,14.8,medium,113,no,3,58,good
8,8,16.3,high,152,no,3,78,good
30.3,2,13.3,medium,99,yes,1,71,good
32.9,2,10.9,medium,87,no,1,11,bad
23.3,4,3.5,medium,76,yes,2,56,good
33.5,0,11.2,low,92,yes,0,43,bad
20.6,4,14.1,medium,112,yes,4,71,good
21.7,3,10.7,medium,126,no,1,51,good
18.1,6,11.9,medium,135,yes,3,79,good
4.2,2,11.3,medium,124,no,3,51,good
7.7,2,10.7,medium,119,yes,3,51,good
4.6,3,12.3,medium,135,no,1,65,good
26.6,6,10.9,medium,94,yes,4,65,good
14.1,0,17.8,medium,137,yes,0,57,good
21.2,4,3.2,medium,91,yes,5,51,good
43.2,4,9.8,medium,78,no,2,45,bad
12,3,8.5,medium,129,yes,4,83,good
17.5,4,12.9,medium,109,yes,3,75,good
32.6,4,12.3,medium,106,yes,5,52,good
11.4,4,18.5,medium,133,no,4,59,good
6.6,1,19.8,medium,171,no,2,62,good
13.3,5,8.9,medium,134,no,3,72,good
9.3,6,12,high,129,yes,4,80,good
45.3,0,12.8,low,68,yes,0,3,bad
35.7,4,8.8,medium,73,no,3,42,bad
26.5,2,14.5,medium,118,yes,1,65,good
40.1,2,11,low,82,yes,2,19,bad
35.5,3,7.7,medium,91,no,3,29,bad
10,1,10.9,medium,149,no,3,46,bad
41.8,1,8,low,66,no,0,7,bad
22.4,5,16.1,medium,106,yes,4,71,good
35.7,0,19.6,low,108,yes,1,45,bad
42.1,2,13,low,94,yes,0,30,bad
14.3,3,12.4,medium,114,yes,1,60,good
7.7,2,12.6,medium,134,yes,2,54,good
11.3,2,16.7,medium,150,no,3,65,good
18.1,1,16.6,medium,110,no,0,55,good
36.4,1,11.5,low,91,no,0,16,bad
39.3,3,13,medium,82,yes,1,47,bad
2.7,1,14.6,medium,146,yes,6,64,good
21.3,2,7.4,medium,110,yes,0,45,bad
17.7,0,16.9,medium,129,yes,1,55,good
11.1,1,18.9,medium,131,no,2,39,bad
8,7,16.7,high,136,no,2,75,good
14.9,6,7,medium,126,yes,1,75,good
46.8,1,4.1,low,61,yes,1,17,bad
14.4,1,14.8,medium,136,yes,3,61,good
21.6,4,9,medium,108,yes,3,69,good
29.8,5,13.1,medium,110,yes,2,78,good
15.8,5,18.1,medium,129,yes,6,91,good
50.7,0,9.4,low,55,yes,1,16,bad
49.3,5,10.5,medium,75,no,1,32,bad
12.1,3,13.1,medium,139,yes,0,66,good
20.7,7,6.8,medium,93,yes,3,83,good
13.7,3,9,medium,112,yes,1,81,good
13.2,3,12.1,medium,123,no,1,58,good
4.9,3,10.8,medium,150,no,2,74,good
25.4,4,14.4,medium,116,yes,3,54,good
20.9,4,23.1,medium,122,no,0,61,good
5.6,3,12.4,medium,135,yes,3,83,good
13,3,8.6,medium,115,yes,3,68,good
43.2,3,17.7,low,79,yes,0,56,good
11.7,2,5.6,medium,113,yes,2,58,good
8.8,4,6.4,medium,117,yes,5,62,good
20.4,1,9.6,medium,105,yes,0,52,good
53.4,0,10.9,low,58,yes,0,0,bad
11.8,7,9.5,high,136,no,3,56,good
28.3,1,11.9,medium,98,yes,1,57,good
33,1,13.1,low,97,no,0,28,bad
11.6,1,16.3,medium,135,no,1,55,good
31.1,3,12.4,medium,93,yes,1,43,bad
16,1,9.8,medium,116,no,3,35,bad
26.4,3,16.1,medium,113,yes,0,57,good
26.5,6,8.7,medium,98,yes,4,77,good
22.3,1,5.5,medium,89,yes,1,41,bad
7.1,2,16.8,medium,141,yes,3,67,good
37.5,3,16.6,medium,105,yes,3,54,good
14.4,3,8.8,medium,114,yes,1,61,good
10,7,10.4,high,127,no,6,78,good
5.1,5,8.3,high,131,yes,2,71,good
24.6,2,13.3,medium,114,yes,2,46,bad
28.5,1,18.9,medium,121,no,2,23,bad
3.6,7,14.8,high,142,no,5,78,good
21.3,5,16.1,medium,111,no,2,59,good
11.3,3,15.3,medium,121,yes,2,66,good
27,2,12,medium,114,no,3,45,bad
9.7,3,16.3,medium,146,yes,5,80,good
29.2,2,15,medium,113,yes,2,55,good
16.6,4,17.8,medium,139,yes,4,88,good
46.1,3,10.2,low,70,yes,1,37,bad
8.6,3,5,medium,111,yes,1,60,good
15,6,16.2,medium,120,yes,2,82,good
7.8,1,13.4,medium,124,no,1,59,good
44.8,4,10.8,medium,87,yes,3,48,bad
40.6,2,11,low,76,yes,0,35,bad
12.3,2,22.2,medium,156,yes,3,71,good
27.7,3,9.4,medium,95,yes,0,62,good
36.3,3,8.6,medium,76,no,2,25,bad
23.1,1,12.3,medium,99,no,0,39,bad
22,3,16.7,medium,115,yes,3,80,good
11.8,2,21.1,medium,159,no,0,58,good
7.2,4,14.6,medium,128,yes,4,70,good
42.2,6,6.9,medium,92,yes,4,42,bad
42.5,5,19.9,medium,88,yes,3,74,good
26.4,5,11.9,medium,112,no,2,54,good
15,3,8.6,medium,113,no,1,49,bad
15.3,3,7.7,medium,109,no,2,43,bad
31,0,15.3,low,91,yes,0,42,bad
42.2,3,13,low,82,yes,1,31,bad
41.4,4,13.4,medium,73,no,0,43,bad
34,6,17.1,medium,86,no,3,53,good
26.9,2,8.8,medium,98,yes,1,43,bad
6.9,1,17.5,medium,138,yes,1,69,good
9.3,2,9.9,medium,143,yes,2,61,good
42.4,2,20.7,low,108,yes,1,41,bad
25.3,1,14.4,medium,128,no,1,38,bad
2.9,2,8.3,medium,125,yes,2,41,bad
7.5,5,3.9,medium,118,no,4,50,good
27.9,6,15.2,medium,82,yes,4,75,good
2.4,4,10.5,medium,135,yes,4,93,good
9.3,2,11.4,medium,130,yes,3,58,good
22.8,5,15.1,medium,118,yes,5,74,good
29.3,4,16,medium,108,yes,1,80,good
27.3,3,16.9,medium,114,yes,3,53,good
11.2,4,7.3,medium,91,yes,1,78,good
30.3,0,17.7,low,113,no,1,17,bad
11.6,2,9.7,medium,127,no,1,44,bad
14.5,2,3,medium,118,no,2,29,bad
32.1,3,7.3,medium,90,yes,5,39,bad
27.2,5,12.9,medium,104,yes,4,90,good
38.5,3,8.1,medium,89,yes,0,52,good
27.6,5,11.6,medium,78,yes,5,76,good
23.6,2,13.4,medium,106,no,0,49,bad
7.2,4,11.3,medium,124,no,5,48,bad
16,5,10,medium,116,yes,2,79,good
12.5,2,7,medium,93,yes,1,71,good
11.8,1,12.1,medium,140,yes,2,54,good
50.9,0,3.7,low,49,yes,1,11,bad
16.8,4,9.3,medium,117,yes,4,72,good
41.8,3,8.3,medium,76,no,3,39,bad
26.4,4,11,medium,115,no,1,43,bad
34.9,1,11.1,low,71,yes,0,26,bad
20.9,1,15.8,medium,121,no,1,41,bad
24,2,18.3,medium,132,yes,4,73,good
20.5,2,7.5,medium,103,yes,1,40,bad
10.3,1,20,medium,135,no,0,44,bad
30.8,2,8.9,medium,86,yes,2,48,bad
13,5,12.7,medium,122,no,2,62,good
4.2,2,14,medium,134,no,5,57,good
27,3,21.8,medium,122,yes,2,79,good
9.8,4,9.8,medium,140,no,5,50,good
46.5,2,4.8,low,54,no,3,0,bad
48.1,2,18,low,79,yes,0,52,good
43.8,2,8.7,low,76,yes,1,18,bad
16,5,10.6,medium,115,yes,2,68,good
3.5,3,7.5,medium,116,no,1,68,good
45.2,2,10.6,low,73,no,0,9,bad
18.1,4,8.6,medium,109,yes,6,62,good
49.9,7,14.7,medium,84,yes,2,66,good
49.4,1,12.3,low,61,no,0,16,bad
38.8,7,9.3,medium,90,no,2,45,bad
13.5,3,16,medium,131,yes,4,86,good
16.6,1,13,medium,110,yes,2,43,bad
38.6,2,4.6,low,58,yes,2,32,bad
14.2,1,15.7,medium,149,yes,1,57,good
9.5,4,12.7,medium,130,yes,3,90,good
23.1,3,17.6,medium,130,no,2,53,good
46,2,12.5,low,59,yes,1,25,bad
29.5,1,8.8,medium,120,yes,2,45,bad
23.7,2,11.2,medium,116,no,1,47,bad
7.3,3,15.2,medium,137,no,5,66,good
25.6,3,8.9,medium,96,yes,4,46,bad
54.5,1,10.2,low,66,yes,2,8,bad
8.6,7,11.1,high,136,yes,4,85,good
21.6,2,7.4,medium,104,yes,2,52,good
40.6,3,9,medium,77,no,0,35,bad
31.8,4,12.7,medium,103,no,2,28,bad
29.5,3,16.8,medium,92,yes,1,68,good
29.8,6,13.3,medium,98,no,3,54,good
15.7,5,11.8,medium,104,yes,2,73,good
13.4,2,8.7,medium,123,yes,0,56,good
35.8,1,16.4,low,92,no,4,18,bad
35.9,5,13.7,medium,78,yes,2,36,bad
39.8,3,9.2,medium,71,no,3,22,bad
43.7,5,15.6,medium,87,yes,4,50,good
21.3,1,14.2,medium,114,yes,3,60,good
20.9,3,8.7,medium,94,yes,4,52,good
35.1,3,11.6,medium,74,no,0,37,bad
27.2,3,10,medium,100,yes,4,66,good
29.8,2,22.5,medium,114,no,2,58,good
35,1,14.1,low,93,no,0,28,bad
41.6,4,12.7,medium,81,yes,1,49,bad
14.9,1,13.9,medium,130,no,2,49,bad
16.2,7,17.5,high,139,no,7,66,good
7.2,2,11.7,medium,134,no,2,52,good
24,3,9.6,medium,100,no,0,48,bad
4.9,3,15.4,medium,144,yes,4,75,good
19.5,6,11.3,medium,110,yes,3,90,good
22.5,2,7.7,medium,85,no,3,35,bad
13.2,1,6.9,medium,125,yes,3,57,good
24.6,5,18.1,medium,128,yes,3,88,good
4.5,2,12.5,medium,158,yes,4,78,good
4.9,6,9.6,high,155,no,0,57,good
36.7,3,11.1,medium,75,yes,1,55,good
15.7,4,15.2,medium,123,no,4,67,good
8.2,2,10.8,medium,154,yes,2,73,good
21.7,0,6.2,medium,99,no,0,18,bad
33.4,3,13.3,medium,99,no,2,33,bad
11,5,16.8,medium,122,yes,3,97,good
26,3,16.6,medium,116,yes,1,60,good
6.9,2,9.8,medium,149,no,2,48,bad
5.6,3,17.1,medium,159,no,3,78,good
22.1,3,12.9,medium,107,no,1,49,bad
22.5,2,17,medium,116,no,3,42,bad
26.6,2,14.3,medium,97,yes,1,52,good
31,3,5.9,medium,77,no,0,37,bad
51.4,2,19,low,62,no,2,7,bad
21.5,1,12.2,medium,111,yes,1,53,good
14.4,2,14.3,medium,142,yes,1,70,good
34.9,4,6.6,medium,84,yes,4,58,good
12.7,4,14,medium,143,yes,0,84,good
18.5,4,16.4,medium,136,no,1,55,good
6.7,3,19.7,medium,144,no,4,78,good
4.2,3,17.6,medium,141,yes,3,83,good
49.3,1,14.2,low,67,no,1,0,bad
37.6,4,5.8,medium,58,yes,0,49,bad
29.5,2,12.5,medium,101,yes,1,65,good
17.4,2,9.6,medium,84,no,1,48,bad
9.6,2,12.9,medium,137,no,0,55,good
9.1,6,7.1,high,121,no,3,74,good
12,1,11.2,medium,129,no,0,34,bad
22.8,2,9.9,medium,116,yes,3,42,bad
30.4,2,9.8,medium,96,yes,1,36,bad
27.7,2,9.8,medium,114,yes,0,54,good
13,5,11.5,medium,130,yes,3,80,good
48.2,3,13.1,low,66,yes,3,44,bad
31.6,1,3,low,76,yes,1,26,bad
23,3,3,medium,69,yes,4,47,bad
25.5,5,10.6,medium,94,no,2,53,good
17.8,4,11.2,medium,112,yes,3,71,good
12,4,12.8,medium,133,yes,5,61,good
15.5,5,9.1,medium,107,yes,1,98,good
32.7,2,12,medium,82,yes,3,53,good
3.4,3,12.5,medium,121,no,2,67,good
7.9,2,9.1,medium,120,yes,3,71,good
5.4,8,16.1,high,164,no,4,88,good
5.1,3,12.7,medium,140,yes,1,78,good
38.9,4,14.2,medium,99,no,1,35,bad
29.8,5,12.3,medium,91,yes,3,71,good
19.8,4,20.4,medium,115,no,2,69,good
7.4,3,14.4,medium,125,yes,1,74,good
20.5,3,10,medium,108,yes,5,70,good
19.8,1,15.3,medium,101,yes,1,64,good
9.6,4,5.4,medium,106,yes,1,78,good
18.3,4,12.5,medium,112,no,2,67,good
17,3,13.3,medium,108,no,2,54,good
25.7,2,12.5,medium,85,yes,1,61,good
26.5,5,10.7,medium,105,yes,3,73,good
5.3,1,8,medium,129,yes,4,54,good
16.2,7,8.8,high,121,yes,5,75,good
26.1,3,12.4,medium,95,no,2,46,bad
21,4,7.5,medium,111,no,4,37,bad
39,2,19.1,low,115,no,0,46,bad
27.6,0,3,low,87,yes,0,12,bad
9.3,4,10.7,medium,121,yes,2,67,good
6.4,3,12.4,medium,137,yes,1,88,good
26.9,4,14,medium,101,no,3,56,good
4.3,3,8.3,medium,122,no,5,47,bad
24.4,1,16.5,medium,123,no,3,44,bad
46.5,0,6.4,low,62,yes,0,24,bad
23.9,3,9.7,medium,116,no,1,42,bad
16.7,2,14.5,medium,120,no,2,71,good
26.9,6,16.2,medium,109,yes,4,64,good
19.2,2,6.4,medium,98,yes,1,60,good
22.7,4,22.6,medium,120,no,4,74,good
46.6,3,8.4,low,75,yes,1,35,bad
16.6,7,6.8,high,131,no,5,53,good
49.1,5,14,medium,71,no,2,34,bad
43,4,10.6,medium,70,yes,2,52,good
10.3,1,10,medium,117,yes,1,69,good
6.4,6,14.4,high,132,no,6,75,good
7.5,1,5.9,medium,137,no,2,48,bad
3.7,2,5.2,medium,118,yes,3,56,good
7.2,1,9.6,medium,123,yes,2,61,good
28.8,3,16.3,medium,97,no,6,36,bad
6.4,2,9.8,medium,133,no,1,50,good
14.3,1,18.4,medium,135,no,0,62,good
38.2,0,16.8,low,85,yes,0,34,bad
4.1,1,13.1,medium,131,no,1,76,good
36.1,1,13.4,low,108,no,1,18,bad
13.1,5,13.1,medium,127,no,4,64,good
8,2,12.6,medium,134,no,2,55,good
29.5,6,10.5,medium,98,yes,1,65,good
26.3,2,11,medium,116,yes,3,50,good
40.6,5,7.7,medium,64,yes,4,60,good
31.5,2,3.2,medium,75,yes,4,38,bad
35.4,1,16.4,low,98,yes,0,33,bad
13.1,1,12.6,medium,108,no,2,40,bad
9.8,2,12,medium,120,yes,3,65,good
32.3,3,13.6,medium,109,no,1,41,bad
35.7,2,8.7,medium,91,yes,1,52,good
54.6,1,8,low,63,yes,0,0,bad
17.5,5,10.9,medium,110,yes,5,70,good
16.1,5,17.5,medium,126,no,2,71,good
33.8,2,7.3,medium,66,no,1,14,bad
15,1,3,medium,113,yes,1,41,bad
45.4,3,9.9,low,83,no,0,10,bad
39.2,0,16.6,low,105,yes,0,24,bad
18.1,2,5.1,medium,119,yes,4,50,good
32.4,6,7.3,medium,90,yes,3,60,good
32.6,7,13.1,medium,113,yes,4,67,good
7.5,3,22.3,medium,151,yes,3,91,good
42.7,3,6.6,low,51,yes,2,44,bad
21,3,6.4,medium,110,no,3,52,good
36.9,1,13.4,low,73,yes,1,20,bad
14.3,3,16.8,medium,134,no,2,64,good
42.1,4,9.5,medium,85,yes,1,46,bad
16.7,4,5.5,medium,109,no,4,47,bad
3.1,1,13.7,medium,166,yes,5,63,good
43,3,14.5,low,65,yes,1,42,bad
7.1,0,19.1,medium,147,no,0,57,good
14.3,2,14.6,medium,128,no,4,45,bad
47.6,4,15.3,medium,66,yes,0,47,bad
47.7,6,11,medium,59,yes,3,51,good
23.8,3,21.8,medium,119,yes,3,76,good
26.4,2,10.4,medium,90,yes,3,57,good
18.9,4,9.6,medium,110,yes,2,74,good
13.4,2,19.2,medium,132,no,2,55,good
14.6,4,6.1,medium,113,yes,2,69,good
28.3,2,4.6,medium,93,no,0,36,bad
32.4,6,12.5,medium,102,no,3,61,good
34.7,2,12,medium,88,yes,3,46,bad
34.6,0,11.1,low,93,no,1,9,bad
7.1,5,16,medium,152,yes,4,89,good
20.6,3,8.4,medium,110,yes,4,48,bad
5.9,2,12.3,medium,154,yes,3,68,good
22.8,5,10.6,medium,117,yes,3,74,good
18.6,4,8.4,medium,126,yes,3,69,good
41.4,4,11.8,medium,57,no,3,34,bad
15.4,7,15.4,high,129,no,4,72,good
8,2,20.5,medium,146,no,2,59,good
8.7,2,14.3,medium,134,no,3,61,good
33,5,3,medium,68,yes,2,52,good
25.8,4,11.8,medium,109,no,1,47,bad
7.5,3,12.2,medium,115,no,1,59,good
6.9,2,15.7,medium,145,yes,1,76,good
29.7,4,12.7,medium,93,no,2,43,bad
6.5,4,17,medium,139,yes,4,91,good
36.6,5,13.6,medium,97,yes,2,59,good
30,1,18.2,medium,112,no,1,52,good
6.8,2,10.2,medium,141,yes,3,78,good
6.9,1,12.6,medium,125,yes,1,61,good
53.6,4,15.3,low,69,yes,3,35,bad
16.2,1,9.7,medium,124,yes,0,51,good
16.1,3,8.8,medium,117,no,0,47,bad
36,1,9.5,low,89,yes,0,45,bad
47.3,2,9,low,78,yes,0,21,bad
53.4,5,14.1,medium,64,yes,2,52,good
32.5,4,4.7,medium,74,no,3,37,bad
16.3,3,5.8,medium,113,yes,2,51,good
6.9,3,19.5,medium,147,no,2,63,good
33.9,5,9.1,medium,99,yes,4,46,bad
23.2,3,12.8,medium,114,no,2,40,bad
18,2,6,medium,99,no,3,14,bad
43,1,12.4,low,84,yes,1,31,bad
7.8,2,9.1,medium,117,yes,2,84,good
20.5,1,5.7,medium,110,no,2,30,bad
3.2,2,17.3,medium,136,no,3,54,good
19.6,1,16.7,medium,136,no,5,36,bad
5.8,3,11.6,medium,138,yes,3,71,good
8,3,16,medium,138,yes,3,71,good
8,6,19.6,high,155,no,2,85,good
27.2,5,15,medium,114,yes,1,79,good
32.1,6,13.9,medium,113,no,4,43,bad
24.2,1,12.8,medium,123,no,0,43,bad
49.2,2,14.6,low,79,yes,0,42,bad
16.2,4,10.5,medium,108,no,4,69,good
13.2,2,10.9,medium,117,yes,1,88,good
39.9,1,13.8,low,87,yes,0,25,bad
11.2,4,10.1,medium,134,yes,6,92,good
49.4,4,10.5,low,62,no,0,16,bad
3.2,1,12,medium,135,no,3,48,bad
50.4,4,16.6,low,96,no,1,26,bad
5.2,3,7.5,medium,126,no,3,50,good
41.7,1,15,low,81,no,2,18,bad
21.9,2,15.2,medium,125,no,2,35,bad
55.4,1,15.1,low,67,no,0,3,bad
6.5,2,8.8,medium,114,no,1,64,good
23,2,5.2,medium,106,yes,2,47,bad
50.3,3,14.2,low,65,yes,1,35,bad
21.7,4,12.8,medium,113,yes,3,72,good
26.3,4,16,medium,112,yes,3,78,good
29.4,0,9.2,low,97,yes,1,15,bad
19.1,3,15,medium,99,yes,1,77,good
26.2,0,16.2,low,110,no,1,23,bad
24.3,3,11.6,medium,118,yes,6,57,good
42.6,1,13.7,low,96,yes,1,36,bad
5.3,4,13.5,medium,129,yes,6,71,good
13,5,8.7,medium,127,no,4,49,bad
47.7,1,14.1,low,69,yes,1,10,bad
41.7,3,18.5,medium,91,no,1,36,bad
19.1,3,12.1,medium,112,no,3,59,good
25.9,3,6.2,medium,95,yes,2,51,good
12.9,2,9.3,medium,129,yes,2,50,good
10.1,3,4.9,medium,117,yes,2,60,good
19.4,3,17.2,medium,124,no,4,42,bad
15.5,4,15.1,medium,137,no,2,51,good
24.3,3,10,medium,96,yes,3,61,good
6.7,1,6.3,medium,122,yes,1,50,good
51.1,2,8.7,low,71,yes,1,28,bad
53.5,4,9.4,low,64,yes,1,28,bad
29.6,1,12.4,medium,96,no,1,33,bad
22.3,4,12.3,medium,96,yes,4,65,good
14,2,17.4,medium,137,no,1,63,good
36.1,1,9.2,low,68,yes,4,33,bad
28.9,5,6,medium,87,yes,7,57,good
9.3,6,7.4,high,133,no,1,66,good
43.5,1,11.9,low,85,no,0,8,bad
36.7,7,9.1,medium,63,no,4,55,good
47.6,4,10.8,medium,72,no,1,27,bad
31,3,10.2,medium,91,no,0,39,bad
25.6,3,16,medium,101,no,3,47,bad
17.8,0,9.7,medium,116,yes,1,45,bad
45.6,3,10.5,low,68,no,1,11,bad
39.7,3,14.9,medium,85,no,0,42,bad
5.3,1,9.7,medium,133,no,1,59,good
4.3,0,13.7,medium,135,yes,2,75,good
16.3,2,13.3,medium,123,yes,1,55,good
35.9,4,12.6,medium,85,no,0,54,good
53.8,6,7.5,medium,49,no,4,25,bad
8.9,3,16.9,medium,150,no,3,67,good
24.7,3,20.9,medium,136,no,2,48,bad
16.4,2,12,medium,102,yes,3,65,good
50.4,1,7.8,low,67,yes,2,15,bad
38,0,12.1,low,101,no,1,0,bad
37.7,2,16,low,111,yes,1,44,bad
19.6,6,9.5,medium,115,yes,6,83,good
17.6,6,11.5,medium,106,no,5,62,good
12.8,3,13.4,medium,134,yes,0,85,good
5.8,3,16.8,medium,136,no,2,66,good
39.6,2,15.1,low,87,yes,0,46,bad
36,5,15.3,medium,100,no,2,31,bad
59.1,3,10.3,low,44,yes,3,38,bad
56.8,2,13.6,low,51,no,0,19,bad
23.1,2,9.1,medium,108,no,4,32,bad
33.4,2,15.4,medium,119,yes,1,36,bad
47,3,16.6,low,95,yes,0,41,bad
38.5,1,14.2,low,98,yes,1,20,bad
11.9,6,10.5,high,133,no,6,62,good
18.9,4,11.2,medium,120,no,2,56,good
8.3,6,19.2,high,150,no,4,68,good
48.1,2,10.6,low,78,yes,2,32,bad
25.2,5,16.2,medium,101,yes,4,81,good
11.4,2,13.4,medium,132,no,3,59,good
28.3,3,10.7,medium,98,no,3,39,bad
25.8,6,6.6,medium,95,yes,2,56,good
15.6,6,12.8,medium,118,yes,5,90,good
7.8,5,12.4,medium,138,yes,4,81,good
28.3,4,19.2,medium,108,yes,6,58,good
21.6,3,8.6,medium,99,yes,3,69,good
33.6,1,21.2,low,105,no,1,47,bad
21.6,4,13.5,medium,123,yes,2,69,good
38.7,3,13.5,medium,89,yes,2,68,good
22.9,4,9.6,medium,100,yes,1,66,good
23.3,2,13.3,medium,108,no,2,40,bad
40.5,2,13.9,low,87,yes,4,28,bad
17.2,4,15.7,medium,142,no,4,70,good
8.5,4,8.1,medium,111,no,2,53,good
4.4,1,17.6,medium,155,no,1,65,good
32.6,2,13.4,medium,103,yes,1,47,bad
25.9,4,14.4,medium,101,no,1,50,good
29.9,2,11.1,medium,112,no,3,40,bad
10.9,3,8.3,medium,126,yes,5,61,good
8.5,5,12.3,medium,127,yes,1,83,good
3.5,2,12.7,medium,122,yes,4,83,good
15.4,2,6.5,medium,112,yes,3,68,good
24.5,2,15.2,medium,113,yes,2,65,good
16.8,2,16,medium,116,yes,3,62,good
18.5,4,9.1,medium,100,no,5,45,bad
42.9,2,7.9,low,80,yes,0,27,bad
15.3,2,10.8,medium,99,yes,2,67,good
21.4,3,12.1,medium,115,yes,0,57,good
34.2,2,10.9,medium,89,yes,0,54,good
17,2,11.8,medium,123,yes,2,62,good
25.9,2,12.9,medium,104,yes,1,43,bad
39.5,5,6.5,medium,77,no,3,26,bad
47.6,4,7,medium,55,yes,2,36,bad
8.8,4,3,medium,112,yes,0,69,good
45,4,15.8,medium,89,no,1,53,good
20.5,4,12.1,medium,115,yes,6,67,good
12.3,4,16.2,medium,138,yes,2,74,good
19.3,0,7.4,medium,97,yes,1,48,bad
52.2,1,12.1,low,60,no,0,1,bad
20.5,4,12.9,medium,109,no,2,58,good
14.6,1,9.8,medium,115,no,1,46,bad
26.5,4,5.8,medium,105,yes,3,63,good
11.7,1,19,medium,137,yes,1,72,good
6.6,2,17.6,medium,134,no,3,76,good
8.3,2,10.5,medium,134,yes,4,72,good
8.3,1,14,medium,149,yes,3,59,good
9,4,10.1,medium,114,yes,2,95,good
8.6,7,8,high,143,yes,4,83,good
26.8,3,19.3,medium,123,no,0,47,bad
9.9,4,5.4,medium,126,yes,3,81,good
15.2,5,10.9,medium,134,yes,2,92,good
42.2,3,12.3,low,91,no,1,20,bad
